"ID","ArrivalToAdmit","AdmitToRoom","TimeInER","MH_TimeInER","NotSeen","Volume","OverallRating","HeartAttackRate","PneumoniaRate","StrokeRate","Black","NativeAmerican","Asian","White","Hispanic","SomeOtherRace","TwoOrMoreRaces","SexRatio","RuralScore","MedicaidExpansion","Facility.Name","Address","City","State","ZIP.Code","County.Name","Phone.Number"
10001,242,73,170,195,0.03,"high",2,13,17,14.1,0.282352806239108,0.0129427893423775,0.0109251522942579,0.703307488037489,0.0363210815750233,0.0103858953076598,0.0196125514719907,105.014673796791,0.462784863056659,0,"SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL","36301","HOUSTON","(334) 793-8701"
10005,248,75,113,215,0.02,"very high",2,14.8,20.2,16.5,0.0315986549494503,0.0156175136078069,0.00769167548367621,0.925223636243968,0.131909936870004,0.0364411859461787,0.016498551715115,97.2238868388684,0.93591946967837,0,"MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH","BOAZ","AL","35957","MARSHALL","(256) 593-8310"
10006,230,70,146,NA,0.01,"high",2,15.4,17.6,14.5,0.112015119892349,0.0143257443597647,0.00835073851433363,0.869012301345415,0.0418309260576773,0.0140104745984191,0.0172733766764867,93.6148727110317,0.223237982895901,0,"NORTH ALABAMA MEDICAL CENTER","1701 VETERANS DRIVE","FLORENCE","AL","35630","LAUDERDALE","(256) 768-8400"
10007,100,65,108,141,0.03,"low",2,NA,22.1,15.5,0.156939032429979,0.0164970272422541,0.00872814586403818,0.834504174369435,0.0143419169719906,0.00210418788847216,0.0190242957878964,93.8505945945946,0.950959488272921,0,"MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL","36467","COVINGTON","(334) 493-3541"
10008,193,78,87,NA,0,"low",4,NA,17.2,NA,0.275214747156707,0.0168450636315273,0.0126104280276362,0.709184809659584,0.0151312204429715,0.00398958878058831,0.0171505688410597,94.8228373702422,0.940199335548173,0,"CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","LUVERNE","AL","36049","CRENSHAW","(334) 335-3374"
10011,350,104,204,NA,0.05,"high",2,14.8,17.4,12.7,0.286980598523808,0.00839812184765559,0.0112111412023882,0.693359557081859,0.0471305318378969,0.0174022053680022,0.0172339347257415,93.2625769445999,0.171266905879106,0,"ST VINCENT'S EAST","50 MEDICAL PARK EAST DRIVE","BIRMINGHAM","AL","35235","JEFFERSON","(205) 838-3122"
10012,202,57,125,235,0.02,"medium",2,15.3,19.3,14,0.0344434695288677,0.0276319051054634,0.00821775884749419,0.897293288152947,0.0934536793465171,0.0492132536909152,0.024667765121587,97.4085230589609,0.933022714036109,0,"DEKALB REGIONAL MEDICAL CENTER","200 MED CENTER DRIVE","FORT PAYNE","AL","35968","DE KALB","(256) 845-3150"
10016,263,80,192,276,0.01,"medium",2,14.3,15.2,12.3,0.177509079077024,0.00795189954390492,0.0136208195861103,0.77855266934347,0.0636609133086501,0.041692958087913,0.0189507501245237,95.857997698504,0.201371876531112,0,"SHELBY BAPTIST MEDICAL CENTER","1000 FIRST STREET NORTH","ALABASTER","AL","35007","SHELBY","(205) 620-8100"
10018,187,15,114,NA,0,"low",NA,NA,NA,NA,0.212890771112658,0.0107132097065584,0.0159305150061987,0.76123555885611,0.0404101817433944,0.0158022879592968,0.0182545350764152,93.3862068965517,0.372881355932203,0,"UAB CALLAHAN EYE HOSPITAL AUTHORITY","1720 UNIVERSITY BLVD, SUITE 500","BIRMINGHAM","AL","35233","JEFFERSON","(205) 325-8100"
10019,187,62,120,153,0.02,"high",4,14.3,16,15,0.140817991263214,0.0198439774935529,0.00793463306337145,0.830675703997343,0.0502867176072376,0.02546762822827,0.0225110766733845,93.2400674346727,0.213492504164353,0,"HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","SHEFFIELD","AL","35660","COLBERT","(256) 386-4556"
